slide,model,lambda,fold,dice,iou,entropy
test_008,abmil,0.0,1,0.012716571725719147,0.006398972358342452,0.44012649489285205
test_008,abmil,0.0,2,0.02098943437256246,0.010606024412966104,0.1330041305778509
test_008,abmil,0.0,3,0.015600255276904531,0.007861447935774353,0.23638842996637763
test_008,abmil,0.0,4,0.012716571725719147,0.006398972358342452,0.6394455484300481
test_008,abmil,0.0,5,0.024534946935495308,0.012419833445008136,0.1520823143915508
test_008,abmil,0.0,6,0.01701846030207767,0.008582258564378858,0.40539437767111247
test_008,abmil,0.0,7,0.023920391424586948,0.012104973565225711,0.7884103810817261
test_008,abmil,0.0,8,0.02425130593046068,0.012274489161123607,0.8956360987826747
test_008,abmil,0.0,9,0.014702058760961543,0.007405467187351176,0.2917493446951578
test_008,transmil,0.0,0,0.0,0.0,0.9999763904176755
test_008,transmil,0.0,1,0.013992956248374974,0.007045773725928924,0.9993784692148979
test_008,transmil,0.0,2,0.0,0.0,0.9997794370854379
test_008,transmil,0.0,3,0.0,0.0,0.9494407508532624
test_008,transmil,0.0,4,0.009643794171177347,0.0048452604327482605,0.9996192020247372
test_008,transmil,0.0,5,0.010967452194672276,0.005513963161021984,0.9995022032719407
test_008,transmil,0.0,6,0.0023164015411161272,0.0011595437550286337,0.9921400811948623
test_008,transmil,0.0,7,0.0023164015411161272,0.0011595437550286337,0.9992083484657065
test_008,transmil,0.0,8,0.01701846030207767,0.008582258564378858,0.9996249596235284
test_008,transmil,0.0,9,0.01110927269718959,0.005585662673512074,0.9989705487722326
test_008,clam,0.0,0,0.01385113574585766,0.006973865854239063,0.33919559797229054
test_008,clam,0.0,1,0.026945895478289645,0.013656947073340201,0.6175183852370887
test_008,clam,0.0,2,0.023778570922069635,0.01203234140273658,0.1662137024003573
test_008,clam,0.0,3,0.024913134942208145,0.012613690761129727,0.32461814542882644
test_008,clam,0.0,4,0.015032973266835276,0.0075734120841172686,0.8042462220213885
test_008,clam,0.0,5,0.01181837520977616,0.005944313669543714,0.5444089932720612
test_008,clam,0.0,6,0.01999669085494126,0.010099321936777768,0.2533496098848869
test_008,clam,0.0,7,0.012196563216488997,0.006135698827558325,0.6007524205077857
test_008,clam,0.0,8,0.02538586995059919,0.012856116830260953,0.688313819974688
test_008,clam,0.0,9,0.01753846881130782,0.008846814193056085,0.4078147690007248
test_008,clam,0.05,0,0.022880374406126645,0.01157257968103675,0.9450773600409865
test_008,clam,0.05,1,0.025764057957312028,0.013050141276758775,0.7768978993476492
test_008,clam,0.05,2,0.024629493937173518,0.012468290815105539,0.9381219634332394
test_008,clam,0.05,3,0.026284066466542178,0.013317046298292256,0.7885920713454698
test_008,clam,0.05,4,0.026473160469898598,0.013414137542817449,0.7298849325380453
test_008,clam,0.05,5,0.026378613468220388,0.013365589594960358,0.9139119123195367
test_008,clam,0.05,6,0.02425130593046068,0.012274489161123607,0.938746934486942
test_008,clam,0.05,7,0.02538586995059919,0.012856116830260953,0.8908935755216899
test_008,clam,0.05,8,0.02477131443969083,0.012540985568293325,0.8725722986811647
test_008,clam,0.05,9,0.02557496395395561,0.012953119762486233,0.7630791733958456
test_010,mean,0.0,0,0.0,0.0,0.9999877886189363
test_010,mean,0.0,1,0.0,0.0,0.9999877886189363
test_010,mean,0.0,2,0.0,0.0,0.9999877886189363
test_010,mean,0.0,3,0.0,0.0,0.9999877886189363
test_010,mean,0.0,4,0.0,0.0,0.9999877886189363
test_010,mean,0.0,5,0.0,0.0,0.9999877886189363
test_010,mean,0.0,6,0.0,0.0,0.9999877886189363
test_010,mean,0.0,7,0.0,0.0,0.9999877886189363
test_010,mean,0.0,8,0.0,0.0,0.9999877886189363
test_010,mean,0.0,9,0.0,0.0,0.9999877886189363
test_010,max,0.0,0,0.0,0.0,0.9999877886189363
test_010,max,0.0,1,0.0,0.0,0.9999877886189363
test_010,max,0.0,2,0.0,0.0,0.9999877886189363
test_010,max,0.0,3,0.0,0.0,0.9999877886189363
test_010,max,0.0,4,0.0,0.0,0.9999877886189363
test_010,max,0.0,5,0.0,0.0,0.9999877886189363
test_010,max,0.0,6,0.0,0.0,0.9999877886189363
test_010,max,0.0,7,0.0,0.0,0.9999877886189363
test_010,max,0.0,8,0.0,0.0,0.9999877886189363
