slide,fold,lambda,dice,iou,entropy
test_002,5,0.0,0.2016159050601038,0.11210947963084715,0.3269668093263405
test_002,5,0.01,0.16496244881872524,0.08989595265368461,0.24322708085706277
test_002,5,0.02,0.2053819710538416,0.11444327859251849,0.35868975811192566
test_002,5,0.05,0.19728055002080094,0.10943497060681144,0.4528186706325073
test_002,5,0.1,0.18541306299402247,0.10217921181552718,0.8164848686551202
test_002,5,0.15,0.1886974228722822,0.10417774769111746,0.8843262029833353
test_002,5,0.2,0.18659543255019598,0.10289785076068582,0.9378057552345096
test_002,6,0.0,0.19855050250706138,0.11021707951479204,0.2935323625540611
test_002,6,0.01,0.1914124937049769,0.10583535108958837,0.31633784006392557
test_002,6,0.02,0.19986424645836526,0.11102731894811103,0.32746569501297884
test_002,6,0.05,0.21133761029975257,0.11815399681723589,0.4256503715692269
test_002,6,0.1,0.16329837314707363,0.08890849268036813,0.7707439494991045
test_002,6,0.15,0.19907600008758294,0.11054103343465045,0.7405859234365285
test_002,6,0.2,0.16364870486742134,0.08911623026660943,0.9591259440972297
test_002,7,0.0,0.1963609292548882,0.10886930342098235,0.279848270325684
test_002,7,0.01,0.2275404523658339,0.12837554045707228,0.3763702337345066
test_002,7,0.02,0.20165969652514726,0.11213656065845225,0.36928561549248407
test_002,7,0.05,0.2310875610343544,0.13063821359607863,0.5469649117045938
test_002,7,0.1,0.2135709750169692,0.11955189488650292,0.6425698967318697
test_002,7,0.15,0.20441855882288543,0.11384532839060557,0.7732371638299614
test_002,7,0.2,0.2024041514308861,0.11259714000341056,0.8889672747172856
test_002,8,0.0,0.21282652011123032,0.11908554066305653,0.35818651269417623
test_002,8,0.01,0.21168794202010027,0.11837304405318706,0.4794847728209637
test_002,8,0.02,0.15642311313524995,0.0848476210836362,0.2833019499762593
test_002,8,0.05,0.1833548641369797,0.10093047922090445,0.4755890495476038
test_002,8,0.1,0.21015524074357908,0.11741534546878059,0.6594172222204706
test_002,8,0.15,0.194258938932802,0.10757851339881169,0.9157259798020008
test_002,8,0.2,0.15484662039368527,0.08392073098374273,0.9639506764025443
test_002,9,0.0,0.19206936568062885,0.10623713213031367,0.13684061875818782
test_002,9,0.01,0.19824396225175714,0.11002819366128719,0.3006651033977151
test_002,9,0.02,0.19491581090845395,0.10798156234837458,0.35066172716934096
test_002,9,0.05,0.183004532416632,0.10071821073941965,0.49048707855131096
test_002,9,0.1,0.20958595169801406,0.11706004647181117,0.5600108827831259
test_002,9,0.15,0.2314378927547021,0.13086217996335364,0.7636750042144941
test_002,9,0.2,0.21028661513870947,0.11749736964447381,0.9356973009708255
test_004,0,0.0,0.0033341027416583313,0.0016698350716744593,0.23810153720639113
test_004,0,0.01,0.0015901105383293581,0.0007956878850102669,0.5069371424166925
test_004,0,0.02,0.0033341027416583313,0.0016698350716744593,0.8399222353006083
test_004,0,0.05,0.0020004616449949986,0.0010012322858903265,0.9875312671815728
test_004,0,0.1,0.00041035110666564077,0.0002052176589795552,0.9961526482718094
test_004,0,0.15,0.0029237516349926904,0.0014640160271228231,0.9973612203552553
test_004,0,0.2,0.0,0.0,0.9969573411618654
test_004,1,0.0,0.0013336410966633325,0.0006672654946747081,0.9459376222917989
test_004,1,0.01,0.0,0.0,0.9827497491842524
test_004,1,0.02,0.003282808853325126,0.001644103064710869,0.9632456357596832
test_004,1,0.05,0.0033341027416583313,0.0016698350716744593,0.9584041216121927
test_004,1,0.1,0.001077171654997307,0.0005388760585065435,0.992882639123484
test_004,1,0.15,0.0014875227616629478,0.0007443149735639854,0.9905899760199924
test_004,1,0.2,0.0,0.0,0.9998136177344736
test_004,2,0.0,0.0037444538483239723,0.001875738732720078,0.1979452544635998
test_004,2,0.01,0.003282808853325126,0.001644103064710869,0.6827699836716833
