slide,fold,lambda,dice,iou,entropy
test_021,6,0.05,0.1957832972671201,0.10851429153192273,0.8653785199756612
test_021,6,0.1,0.19568423127368942,0.10845342853253752,0.9127615721577148
test_021,7,0.0,0.1958782355108245,0.10857262484513404,0.8669492201100253
test_021,7,0.05,0.19582044701465662,0.10853711687987819,0.9054787386797362
test_021,7,0.1,0.19581631926493032,0.10853458068368618,0.9165477161343976
test_021,8,0.0,0.19579568051629895,0.10852189987679925,0.8149997380961976
test_021,8,0.05,0.19582870251410917,0.10854218930707749,0.8514695125208134
test_021,8,0.1,0.19553976003326967,0.10836468197097816,0.9092847423116771
test_021,9,0.0,0.19577091401794128,0.10850668329148531,0.8588731920010376
test_021,9,0.05,0.19576059464362558,0.10850034317089911,0.9230491714762458
test_021,9,0.1,0.19583076638897232,0.10854345742113054,0.8927770989663053
test_026,0,0.0,0.41842016943464155,0.2645583620556613,0.577639058402119
test_026,0,0.05,0.41876595441740316,0.2648348962554188,0.6593906660698522
test_026,0,0.1,0.41842016943464155,0.2645583620556613,0.7869182751330837
test_026,1,0.0,0.4188676558829213,0.26491625286232534,0.9697182844623076
test_026,1,0.05,0.4184608500208488,0.2645908892147028,0.7192188765341996
test_026,1,0.1,0.4188676558829213,0.26491625286232534,0.9921218870906192
test_026,2,0.0,0.4186439126587814,0.26473728214033054,0.6357435014588166
test_026,2,0.05,0.41876595441740316,0.2648348962554188,0.6702533946405349
test_026,2,0.1,0.4185625514863669,0.26467221443362615,0.7278172227605385
test_026,3,0.0,0.418501530607056,0.2646234180471242,0.6042508950936265
test_026,3,0.05,0.41866425295188503,0.264753550113192,0.6936795301190696
test_026,3,0.1,0.41862357236567777,0.2647210145859594,0.7695430114550029
test_026,4,0.0,0.41880663500361043,0.26486743764230675,0.6061090042796463
test_026,4,0.05,0.41860323207257416,0.2647047474500624,0.6647202849116192
test_026,4,0.1,0.41842016943464155,0.2645583620556613,0.7591754873473585
test_026,5,0.0,0.41860323207257416,0.2647047474500624,0.5824264088699197
test_026,5,0.05,0.4188676558829213,0.26491625286232534,0.6497591577536829
test_026,5,0.1,0.41862357236567777,0.2647210145859594,0.7527774527710637
test_026,6,0.0,0.4186439126587814,0.26473728214033054,0.5869444852676686
test_026,6,0.05,0.41876595441740316,0.2648348962554188,0.7005229298349107
test_026,6,0.1,0.41858289177947056,0.26468848073262335,0.7704023264259227
test_026,7,0.0,0.4188676558829213,0.26491625286232534,0.668208092734764
test_026,7,0.05,0.4188676558829213,0.26491625286232534,0.7235441503357382
test_026,7,0.1,0.41880663500361043,0.26486743764230675,0.7412384093047004
test_026,8,0.0,0.41860323207257416,0.2647047474500624,0.5896110071771555
test_026,8,0.05,0.4191320796932684,0.26512782902947724,0.6685590938471299
test_026,8,0.1,0.4185625514863669,0.26467221443362615,0.7705284010179316
test_026,9,0.0,0.41874561412429956,0.2648186261898636,0.6479898617697152
test_026,9,0.05,0.4185422111932633,0.2646559485530547,0.7710937584623782
test_026,9,0.1,0.41917276027947564,0.2651603854913213,0.7277869884789888
test_027,0,0.0,0.5470623204200932,0.376521531589894,0.5733234602947741
test_027,0,0.05,0.5541464381254335,0.38326594942780784,0.5846239318119172
test_027,0,0.1,0.5537996631328643,0.3829342650635426,0.6827914191162912
test_027,1,0.0,0.5325968493014961,0.3629519597582796,0.986963346141119
test_027,1,0.05,0.5525611810165462,0.3817509754261072,0.6024495057097283
test_027,1,0.1,0.5401763598533638,0.3700285054974888,0.9977117803616894
test_027,2,0.0,0.5495888239373824,0.3789193250905116,0.5648868841458995
test_027,2,0.05,0.5515208560388388,0.3807585758746879,0.5808277899054473
test_027,2,0.1,0.5461210740116913,0.3756303666348644,0.6238499758918125
test_027,3,0.0,0.5501832953532151,0.37948472630356045,0.5707007589244745
test_027,3,0.05,0.5540968988407807,0.3832185562065303,0.5887885519549456
test_027,3,0.1,0.5446348954721094,0.37422561100142965,0.629630584486927
test_027,4,0.0,0.5471613989893986,0.37661540559893614,0.5849279745278717
test_027,4,0.05,0.5530070345784207,0.382176726351467,0.5852213629976754
test_027,4,0.1,0.5517190131774498,0.380947494441594,0.6324421720403164
test_027,5,0.0,0.5453284454572476,0.3748808064296417,0.5724697604861743
test_027,5,0.05,0.5541464381254335,0.38326594942780784,0.5769782634251788
test_027,5,0.1,0.5484494203903696,0.3778369338930412,0.6516047404870181
test_027,6,0.0,0.5452789061725949,0.3748339860378001,0.5591130761334344
test_027,6,0.05,0.5521648667393243,0.38137275029083695,0.5921364221217698
test_027,6,0.1,0.5540968988407807,0.3832185562065303,0.6322952794550873
test_027,7,0.0,0.5502328346378679,0.37953186400136685,0.5616992810435151
test_027,7,0.05,0.5466164668582185,0.3760992569363965,0.592259059295549
